sentiment,txt
negative,صرماتي براس اهلك
negative, حرام السخرية من الناس
negative,﻿ طوقان بدور ع منصب يضل فيه عشر سنين لقدام لاسئلان في نووي و لا سلامة الاردن
positive,عمرتنا كانت مميزة جدا ورائعة
negative,﻿ يمكن جايين سكارى ويغنون !
positive,يا سلام ما أحلى أن يواسي المسلم أخاه  هذه هي أخلاق الإسلام التي أصبحنا نفتقدها يوماً بعد يوم
negative, جد اشي بخزي!!
negative, الله معكى يا حجه
negative, ازا كان حالك احسن من حالو دوس لايك وقول سبحان الله 
negative, يعني ما أختار الا الاغنيــه اللي أغلب أحرفها الحرف اللي يقرط فيه 
negative,﻿ والله الحياة كلها بتخزي بدونكم 
positive,حلو
positive,فعلا
negative,مسخرة﻿
negative,صرماتي براس اهلك
negative, حرام السخرية من الناس
negative,﻿ طوقان بدور ع منصب يضل فيه عشر سنين لقدام لاسئلان في نووي و لا سلامة الاردن
positive,الحمدلله على كل حال
negative, لأن ما بعتقد انو في هالقد عاهات ما بيعرفوا انو صوتهم نشااز لأنو كتيير نشاز وازا في رح تكون حالات استثنائية مو بهاد الكم الكبير
positive,اميره ممكن اضافه لو سمحتي
positive,اللهم ارزقنا وإياك الجنه 
positive,كلام حقيقي
negative, يستهبلووا
negative,اذا اليابان اكلت هوا من النووي كيف احنا
negative, العرق كل شوي يزييد
positive,اللهم ارزقنا الاخلاص
negative,نهايه مواطن طفران
positive,اللهم ثبته على دين الاسلام اللهم يا مقلب القلوب ثبت قلبي على دينك
negative, مجانين العرب
negative,تابعت هذا الجوال من بداية صدوره وقبل اقترابه للعالم العربي .. فعلا يستحق كل هذه الاهمية
negative,﻿عاهات 
negative,وذلك ليذوقوا ايران وسوريا وشيعتهم وبال امرهم
positive,اللهم ارزقني حبك و حب من أحبك و حب عمل يقربني لحبك
positive,اللهم أعنا على تقواك
negative, أنا متأكده أنو هذولي مدفوعلهم علشان يجون يغنون لأنو مافي ناس مهابيل لهالدرجه
positive,الله يبارك فيك لانك غيرت في صاحبتي كتير وهي من المتؤثرين فيك وهي اللي عرفتني عليك
negative,احنا بنتهاوش مع الكتب  
positive,﻿اللهم ارنا الحق حقا و ارزقنا اتباعه و ارنا الباطل باطلا و ارزقنا اجتنابه
negative, هههههههههههههههههههه وهابي عفن ومكبوت تفكيرك محصور بين فخذيك فقط لاغير. الجنة اللتي ستدخلها أنت لا أريد دخولها، جهنم أشرفلي وأهون علي من أن أكون مع أحد الوهابيين المنحطين لواطيي الأطفال
negative, اقلب وجهك
positive,ابدأ بنفسى الأول اغيرها
positive,﻿اللهم اغننا بحلالك عن حرامك و اغننا بفضلك عمن سواك
negative,بقرف زيك
