txt	polarity
RT USERNAME: أموي #سوريا •  بســــــــــم الله الرحـْـْمــــــــــــــن الرحيــــــــيم     فرقة تحرير الشام ابطال اللواء... URL 	Positive
RT USERNAME: انتخابات الرئاسة ببلاد العرب.. مصر #انتخبوا_العرص الجزائر #انتخبوا_المرحوم سوريا #انتخبوا_الكيماوي العراق #انتخبوا_بنوقريظة 	Negative
USERNAME USERNAME USERNAME حرب اكتوبر سوريا ومصر دخلت ع فلسطين بدون تعب لكن خونه عرب سحبو جيوش ورجع جيش اسرائيلي لفلسطين 	Negative
USERNAME هذا الكلام! الذي أوردتيه وهو حقيقة لا شك، لكنه يرجح أن المؤامرة في سوريا أن لا يسقط بشار! لا أن يسقط؟ 	Negative
RT USERNAME: #هام #سوريا غاز “الكلور” السام الذي يستخدمه #الأسد مؤخراً، لا يدخل ضمن الأسلحة الكيميائية التي تم الاتفاق على تسليمها htt… 	Negative
RT USERNAME: نبذة مختصرة عن عقيدة الأشاعرة ~ العلامة محمد أمان الجامى #مصر #قطر #سوريا #الاخوان #السيسي #الحدادية #الجزائر  URL 	Neutral
#Syria #شام #سوريا | #ريف_دمشق : تجدد القصف من قبل قوات النظام على مدن وبلدات الغوطة ال...: #... URL #FF #news 	Negative
RT USERNAME: عمالقة سوريا ذهبوا بلا رجعه : #خالد_تاجا #حسن_دكاك #سليم_كلاس #توفيق_الزعيم #عبدالرحمن_ال_رشي URL 	Negative
#الجيش_الحر يستهدف حاجز السلام في خان شيخون بإدلب.#العرب #سوريا 	Negative
USERNAME USERNAME ماذا فعلت دولة الخزي والعار في العراق اين انتصاراتها وأين هي في بداية الثورة في سوريا 	Negative
RT USERNAME: بالفيديو.. كيف يعيش فنانو #سوريا حلمهم المكسور في #دبي؟    URL #syria #dubai #CNNArabic 	Neutral
RT USERNAME: # سورية حمص_تنزف قدمت#حمص من أبنائها(17,812) شهيدا: (2,047) طفل و(1,861) امرأة فهل تريدون مزيداحتى تلبواالنداء؟ URL 	Negative
USERNAME: المونتاج الثوري ثورتنا حُسينية .... راياتنا حُسينية #المغرب #الجزائر #مصر #ليبيا #سوريا #اليمن #فلسطين  URL 	Neutral
أمة نيوز| بالفيديو.. الجبهة الإسلاميّة تدكّ معاقل الشبّيحة في مدينة حمص بالصواريخ: قصف مُقاتِلو لو... URL #سوريا 	Negative
RT USERNAME: #Syria من غزة الصامدة الى حمص المحاصرة  انا منكم وانتم مني دم واحد والعدو واحد ، نحارب...: من... URL #F… 	Positive
أناظر في ( سوريا ) ويتقطع عليها قلبي 	Negative
USERNAME USERNAME USERNAME راجع هذه URL ينشر حساب الشبيح على حسابه عاجل سوريا ومن اول المتابعين للشبيح 	Negative
#سوريا #Syria  #أطفال_سوريا #حمص_المحاصرة #أنقذوا_حمص_قبل_أن_تستباح URL 	Negative
#الزمان: المرصد السوري حرب شوارع في حمص والتقدم في باب هود ووادي السايح لا يخل بالموازين URL #سوريا #Syria 	Negative
RT USERNAME: الصورة من المسجد الأقصى اليوم وحي على النكاح في سوريا   URL 	Negative
#Syria الجيش الحر يستهدف مراكز قوات النظام بسيف الدولية في حلب FSA Target Regime Forces in Saif... URL via FaceBook 	Negative
